author,author_type,bake_time,calories,carb,carb_u,difficulty,dish_description,dish_name,fat,fat_u,image_count,ingredient_list,ingredient_quantity,ingredient_unit,prep_time,protein,protein_u,rating,rest_time,reviews_for_rating,servings,total_steps,user_likes,utensils,total_time
Palate & Plate,Community Member,0,,,,Easy,Perfect for a sunny Saturday lunch on the porch.,Tender chicken skewers with couscous and feta dip,,,1,"['chicken breasts', 'Nando’s peri-peri sauce', 'smoked paprika powder', 'garlic', 'ginger juice', 'mixed dried herbs', 'lime juice', 'couscous', 'feta cheese', 'jarred pitted black olive', 'cherry tomatoes', 'cucumber slices', 'full-fat plain yogurt', 'milk', 'mixed herbs', 'pepper', 'olive oil', 'butter', 'Sichuan salt']","['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",35,,,0.0,30,,2,8.0,75,"['wooden skewer', 'aluminum foil']",65
mrslovegoodfood,Community Member,45,,,,Easy,"Cooking this dish just for you or for your whole family, it will definitely put a smile on everyone’s face. It is easy to make and can be prepared ahead when you plan to have a full house. You don’t like any of the green ingredients? No problem, just change it with the one you like and make it your own version of my chicken thighs in cream mustard sauce.",Chicken thighs in mustard cream sauce with vegetables,,,0,"[' smoked bacon lardons ', 'chicken thighs ', 'garlic cloves ', 'chicken stock', 'one handful frozen peas', 'gem lettuce', 'crème fraîche', 'one handful of mangetouts or green beans ', 'mustard', 'sugar', 'flour', 'Seasoning mix for meat ( or just paprika ) ']","['1.0', '5.0', '2.0', '400.0', '1.0', '3.0', '1.0', '1.0', '1.0', '0.0', '0.0', '0.0']","['package', 'ml', 'tbsp', 'tsp', 'tsp', 'tbsp', '', '', '', '', '', '']",10,,,4.0,0,1.0,2,9.0,229,,55
Giedre Sk,Community Member,25,,,,Easy,Eat it with a garlic bread!,Oven baked vegetables soup with prawns,,,0,"['bell peppers', 'cherry tomatoes', 'shallot', 'garlic', 'carrot', 'thyme', 'pepper', 'broth', 'olive oil', 'shrimp', 'chili flakes']","['2.0', '8.0', '1.0', '2.0', '1.0', '500.0', '100.0', '0.0', '0.0', '0.0', '0.0']","['cloves', 'ml', 'g', '', '', '', '', '', '', '', '']",10,,,0.0,0,,2,6.0,16,,35
Ceci,Community Member,30,,,,Easy,"This dish is easy & fun to prepare. Very tasty, even the next day! ",Polpette: Italian Meatballs 🧡,,,0,"['ground beef', 'bread', 'breadcrumb', 'extra-virgin olive oil', 'grated Parmesan cheese', 'eggs', 'salt', 'pepper', 'parsley', 'garlic', 'milk']","['400.0', '100.0', '60.0', '2.0', '2.0', '0.5', '100.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'tsp', 'clove', 'ml', '', '', '', '', '']",15,,,0.0,0,,2,6.0,32,['baking tin'],45
katelisabeth,Community Member,0,,,,Easy,"This recipe takes a little patience, but it's pretty simple and worth the wait, and feels fancy! I used vegetables that're readily available this time of year, but you can use fresh or frozen veg, so it's easy to make with whatever you have in your kitchen.",Mushroom Risotto with Spring Greens,,,0,"['risotto rice', 'button mushrooms', 'leek', 'onion', 'spring onions', 'peas', 'garlic', 'olive oil', 'sea salt', 'black pepper', 'dried thyme', 'lemon juice', 'dry vermouth', 'mushroom stock cubes', 'chives (for garnish)', 'Parmesan cheese (grated', ' for garnish)']","['300.0', '200.0', '1.0', '1.0', '3.0', '50.0', '3.0', '2.0', '1.0', '1.0', '1.0', '1.0', '3.0', '2.0', '1.0', '0.0']","['g', 'g', 'g', 'cloves', 'tbsp', 'pinch', 'pinch', 'pinch', 'tbsp', 'tbsp', 'dash', '', '', '', '', '']",90,,,0.0,0,,2,6.0,53,"['nonstick pan (large)', 'cooking spoon', 'knife', 'liquid measuring cup']",90
Kohei,Community Member,0,,,,Easy,"Easy and simple, yet decent taste.",Vongole Risotto,,,0,"['clams', 'rice', 'garlic', 'green zucchinis', 'canned diced tomatoes', 'vegetable broth', 'white wine', 'dill', 'olive oil', 'salt', 'pepper', 'butter']","['200', '150', '3', '50', '200', '750', '70', '5', '10', '1', '1', '10']","['g', 'g', 'cloves', 'g', 'g', 'ml', 'ml', 'g', 'g', 'tsp', 'tbsp', 'g']",40,,,0.0,0,,2,5.0,19,"['pot', 'cutting board', 'knife', 'frying pan']",40
Sinead Sweeney,Community Member,25,,,,Easy,,Tomato Pasta,,,0,"['olive oil', 'onion', 'garlic', 'canned crushed tomatoes', 'cream cheese', 'mixed herbs', 'salt', 'pepper', 'baby spinach', 'pasta', 'Parmesan cheese']","['1.0', '0.5', '3.0', '850.0', '230.0', '0.5', '0.5', '230.0', '450.0', '0.0', '0.0']","['tbsp', 'cloves', 'g', 'g', 'tsp', 'tsp', 'g', 'g', '', '', '']",10,,,0.0,0,,4,4.0,11,,35
Enikö Gruber,Contributor,0,537.0,9.0,g,Medium,"Dandelion greens are known as weeds or rabbit food, but they're actually quite a versatile ingredient in the kitchen. Their delicate and bitter flavor pairs perfectly with spicy sauces and grilled meats. You can eat them raw in a salad or sauté it. I would recommend cooking with dandelion greens in spring, since that's when they're most tender!",Chicken Involtini with dandelion cream cheese filling,27.0,g,1,"['chicken breasts', 'dandelion greens', 'cream cheese', 'Prosciutto di Parma', 'basil', 'parsley', 'garlic', 'grated Parmesan cheese', 'lime zest', 'heavy cream', 'vegetable oil', 'honey', 'vegetable broth', 'white wine', 'salt', 'pepper']","['4.0', '100.0', '130.0', '4.0', '15.0', '15.0', '2.0', '100.0', '1.0', '150.0', '2.0', '2.0', '70.0', '0.0', '0.0', '0.0']","['g', 'g', 'slices', 'g', 'g', 'cloves', 'g', 'ml', 'tbsp', 'tsp', 'ml', '', '', '', '', '']",40,61.0,g,4.5,0,9.0,4,4.0,1410,"['meat tenderizer', 'knife', 'cutting board', 'garlic press', 'blender', 'fine grater', 'pastry brush', 'toothpick', 'frying pan']",40
Christian Ruß,Test Kitchen Manager and Chef at Kitchen Stories,0,608.0,16.0,g,Easy,"Chorizo is an air-dried coarse pork sausage. It’s very aromatic and is seasoned with lots of paprika and garlic. Chorizo is native to Spain and Portugal, where it’s used in many local dishes.",Braised veal with chorizo,34.0,g,8,"['veal tri-tip', 'chorizo', 'onion', 'garlic', 'jarred roasted bell peppers', 'anchovies', 'smoked paprika powder', 'white wine', 'water', 'canned diced tomatoes', 'jarred pitted green olives', 'lemon zest', 'bay leaf', 'salt', 'pepper', 'bread (for serving)', 'olive oil (for serving)']","['500.0', '200.0', '1.0', '1.0', '210.0', '4.0', '1.0', '100.0', '300.0', '400.0', '50.0', '1.0', '1.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', 'clove', 'g', 'tsp', 'ml', 'g', 'g', 'tsp', '', '', '', '', '', '', '', '']",80,49.0,g,5.0,0,8.0,3,3.0,1589,"['knife', 'cutting board', 'sieve', 'pot (large)']",80
Sandra Schumann,Contributor,55,1265.0,37.0,g,Medium,"Roasted in punchy marinade with maple syrup and chili, accompanied by a crunchy salad with grilled corn—the perfect pork rib dinner!",BBQ ribs with charred corn salad,77.0,g,2,"['pork ribs', 'sweet corn (cooked)', 'smoked paprika powder', 'garlic powder', 'fennel seeds', 'Worcestershire sauce', 'maple syrup', 'chili powder', 'ketchup', 'salt', 'pepper', 'olive oil', 'red onion', 'jalapeño', 'cherry tomatoes', 'avocado', 'cilantro', 'lime', 'salt', 'pepper', 'sunflower oil (for frying)']","['2.0', '2.0', '3.0', '1.5', '2.0', '3.0', '4.0', '2.0', '2.0', '2.0', '1.0', '6.0', '1.0', '1.0', '150.0', '1.0', '20.0', '1.0', '0.0', '0.0', '0.0']","['kg', 'cobs', 'tsp', 'tsp', 'tsp', 'tbsp', 'tbsp', 'tsp', 'tbsp', 'tsp', 'tsp', 'tbsp', 'g', 'g', '', '', '', '', '', '', '']",30,106.0,g,4.5,720,8.0,4,5.0,3210,"['bowl (small)', 'large ovenproof pot with lid', 'oven', 'frying pan', 'knife', 'cutting board', 'citrus press', 'bowl (large)']",805
